Date,Totalflow
4/5/2016,12455
4/6/2016,12511
4/7/2016,12836
4/8/2016,12680
4/9/2016,13176
4/10/2016,10608
4/11/2016,12652
4/12/2016,12259
4/13/2016,13485
4/14/2016,13330
4/15/2016,14939
4/16/2016,14695
4/17/2016,11593
4/18/2016,12380
4/19/2016,14772
4/20/2016,14879
4/21/2016,15145
4/22/2016,16246
4/23/2016,16277
4/24/2016,12015
4/25/2016,15072
4/26/2016,16250
4/27/2016,17189
4/28/2016,18416
4/29/2016,13029
4/30/2016,11746
5/1/2016,11948
5/2/2016,11599
5/3/2016,14964
5/4/2016,15995
5/5/2016,15342
5/6/2016,16256
5/7/2016,17316
5/8/2016,16323
5/9/2016,15697
5/10/2016,15717
5/11/2016,14442
5/12/2016,14985
5/13/2016,16052
5/14/2016,16868
5/15/2016,14723
5/16/2016,16347
5/17/2016,15882
5/18/2016,15969
5/19/2016,16033
5/20/2016,16953
5/21/2016,16934
5/22/2016,14737
5/23/2016,13788
5/24/2016,16314
5/25/2016,15683
5/26/2016,14926
5/27/2016,16907
5/28/2016,15039
5/29/2016,13850
5/30/2016,16504
5/31/2016,16580
6/1/2016,16933
6/2/2016,16633
6/3/2016,17129
6/4/2016,18004
6/5/2016,15201
6/6/2016,16026
6/7/2016,16243
6/8/2016,16330
6/9/2016,15336
6/10/2016,16103
6/11/2016,16542
6/12/2016,13702
6/13/2016,16088
6/14/2016,16432
6/15/2016,15440
6/16/2016,15653
6/17/2016,17308
6/18/2016,15505
6/19/2016,13075
6/20/2016,15429
6/21/2016,15332
6/22/2016,16093
6/23/2016,16289
6/24/2016,16748
6/25/2016,16862
6/26/2016,13781
6/27/2016,15878
6/28/2016,16116
6/29/2016,15454
6/30/2016,14532
7/1/2016,18593
7/2/2016,17363
7/3/2016,14217
7/4/2016,16919
7/5/2016,16248
7/6/2016,13962
7/7/2016,17341
7/8/2016,17715
7/9/2016,21441
7/10/2016,15361
7/11/2016,14176
7/12/2016,16591
7/13/2016,17599
7/14/2016,17998
7/15/2016,18484
7/16/2016,19870
7/17/2016,18174
7/18/2016,18139
7/19/2016,18197
7/20/2016,17778
7/21/2016,18456
7/22/2016,17837
7/23/2016,18203
7/24/2016,20550
7/25/2016,20331
7/26/2016,18136
7/27/2016,21838
7/28/2016,19898
7/29/2016,20222
7/30/2016,21192
7/31/2016,18281
8/1/2016,18912
8/2/2016,19798
8/3/2016,19281
8/4/2016,19651
8/5/2016,18419
8/6/2016,11761
8/7/2016,11241
8/8/2016,17496
8/9/2016,18067
8/10/2016,18013
8/11/2016,18321
8/12/2016,18997
8/13/2016,18156
8/14/2016,14179
8/15/2016,16721
8/16/2016,19747
8/17/2016,19489
8/18/2016,18792
8/19/2016,20125
8/20/2016,18835
8/21/2016,13046
8/22/2016,16658
8/23/2016,19320
8/24/2016,17259
